Max length,Truncation,Accuracy,F1,AUC,Train time (s),Inference time (s)
128,head+tail,0.9234,0.9222,0.9775,101.2938,37.5598
128,head-only,0.8983,0.896,0.966,100.3546,40.2628
256,head+tail,0.9231,0.9274,0.9855,163.2012,65.1802
256,head-only,0.9298,0.9299,0.9799,165.841,66.798
512,head+tail,0.9467,0.9456,0.9879,316.4033,142.1488
512,head-only,0.9467,0.9469,0.9869,307.425,134.639
