model,split,metric_scope,length_bin,max_length,truncation_strategy,accuracy,f1,auc,training_time_seconds,inference_time_seconds
BiLSTM_T512_head-only,test,overall,all,512.0,head-only,0.71372,0.6947063089195069,0.777268208,5.155495643615723,3.636715888977051
BiLSTM_T512_head-only,test,by_length,short,512.0,head-only,0.7497058329130947,0.7372507499558849,0.8279476524255193,5.155495643615723,3.636715888977051
BiLSTM_T512_head-only,test,by_length,medium,512.0,head-only,0.7074881627403987,0.6831306990881459,0.7688910388547174,5.155495643615723,3.636715888977051
BiLSTM_T512_head-only,test,by_length,long,512.0,head-only,0.6584362139917695,0.6653225806451613,0.6884881170950633,5.155495643615723,3.636715888977051
BiLSTM_T512_head+tail,validation,overall,all,512.0,head+tail,0.7616,0.765261914139425,0.83328192,5.195005178451538,3.73344087600708
BiLSTM_T512_head+tail,validation,by_length,short,512.0,head+tail,0.7834061135371179,0.7912457912457912,0.8563473978241694,5.195005178451538,3.73344087600708
BiLSTM_T512_head+tail,validation,by_length,medium,512.0,head+tail,0.7588611272515979,0.7581585081585082,0.8312086520186331,5.195005178451538,3.73344087600708
BiLSTM_T512_head+tail,validation,by_length,long,512.0,head+tail,0.7239709443099274,0.7510917030567685,0.7864465230536658,5.195005178451538,3.73344087600708
BiLSTM_T512_head+tail,test,overall,all,512.0,head+tail,0.74768,0.7494837172359015,0.8187731648000001,5.195005178451538,3.73344087600708
BiLSTM_T512_head+tail,test,by_length,short,512.0,head+tail,0.7843335014288115,0.7856307435254803,0.8608986639506864,5.195005178451538,3.73344087600708
BiLSTM_T512_head+tail,test,by_length,medium,512.0,head+tail,0.7426784357280646,0.7419392660335327,0.8121456963489138,5.195005178451538,3.73344087600708
BiLSTM_T512_head+tail,test,by_length,long,512.0,head+tail,0.6795267489711934,0.7084698175011699,0.744094672242622,5.195005178451538,3.73344087600708
RoBERTa_T128_head-only,validation,overall,all,128.0,head-only,0.8946,0.892383091688789,0.9655222399999999,100.35463905334473,40.262815952301025
RoBERTa_T128_head-only,validation,by_length,short,128.0,head-only,0.9371179039301311,0.9401993355481728,0.9827899882387533,100.35463905334473,40.262815952301025
RoBERTa_T128_head-only,validation,by_length,medium,128.0,head-only,0.889308541545613,0.8828773439901629,0.9639287442650164,100.35463905334473,40.262815952301025
RoBERTa_T128_head-only,validation,by_length,long,128.0,head-only,0.8208232445520581,0.8318181818181818,0.8974395313681027,100.35463905334473,40.262815952301025
RoBERTa_T128_head-only,test,overall,all,128.0,head-only,0.89832,0.8959731543624161,0.9659752128000001,100.35463905334473,40.262815952301025
